23	21	99
16	26	99
25	4	98
46	24	98
26	29	96
16	29	96
22	40	96
24	52	95
16	40	95
26	40	95
46	52	94
22	21	93
27	21	93
27	23	93
4	52	93
22	26	92
22	23	92
2	49	91
40	29	91
22	16	91
25	52	91
29	31	91
40	21	90
23	40	89
4	24	89
16	31	88
34	46	88
49	33	88
22	29	88
4	46	88
26	31	88
25	33	88
27	22	87
25	24	87
34	24	87
4	33	86
7	20	86
26	23	86
26	21	86
27	10	86
25	46	86
16	21	86
16	23	85
34	52	84
27	40	84
40	31	84
29	21	83
23	29	83
22	31	82
2	31	82
10	21	81
2	33	81
27	26	81
33	52	81
11	9	81
10	23	81
27	16	80
34	4	79
13	14	79
33	24	78
25	49	78
27	29	78
25	34	77
23	31	77
49	4	77
21	31	77
33	46	77
49	31	76
2	29	76
10	13	76
22	10	76
2	26	74
10	40	74
2	16	74
27	31	73
49	52	73
2	25	73
2	4	72
6	3	72
10	26	72
10	16	71
3	9	71
49	29	71
49	24	71
2	40	71
49	46	70
6	14	70
34	33	70
10	29	70
49	26	69
49	16	69
2	22	69
2	52	69
33	31	69
27	13	68
49	40	67
2	24	67
2	23	66
2	46	66
2	21	66
10	31	65
13	21	65
22	49	65
23	13	65
33	29	65
34	49	64
27	2	63
33	16	63
33	26	63
10	14	63
25	31	63
49	23	62
22	13	62
49	21	62
4	31	62
33	40	61
2	34	61
11	3	61
40	13	60
22	33	60
31	52	60
11	1	60
25	29	60
4	29	59
27	49	59
26	13	59
6	13	59
46	31	58
25	26	58
25	16	58
16	13	58
4	26	58
4	16	58
31	24	58
27	14	58
29	13	57
29	52	57
25	40	57
33	23	57
33	21	57
2	10	57
4	40	56
23	14	55
21	14	55
3	14	55
26	52	55
27	33	55
16	52	55
46	29	55
22	25	55
22	4	55
6	9	55
29	24	55
13	31	54
16	46	54
49	10	54
26	24	54
16	24	54
40	52	54
26	46	53
25	21	53
4	23	53
22	14	53
4	21	53
34	31	53
25	23	53
22	52	53
40	46	52
9	1	52
40	14	52
40	24	52
22	46	51
34	29	51
22	24	51
16	14	51
27	4	51
21	52	51
27	25	51
10	33	51
23	52	51
26	14	51
34	26	50
29	14	50
34	16	50
6	10	50
21	24	50
34	40	49
23	46	49
11	6	49
27	52	49
46	21	49
23	24	49
14	31	48
22	34	48
3	13	48
27	24	48
27	46	48
2	13	48
25	10	47
4	10	47
34	21	46
34	23	46
27	6	46
49	13	46
7	1	46
27	34	45
14	9	45
10	52	45
6	23	45
10	46	44
6	21	44
33	13	44
10	24	44
3	1	43
2	14	43
22	6	43
3	10	42
20	1	42
34	10	42
6	40	42
6	26	42
6	29	41
6	16	41
25	13	41
11	14	41
49	14	41
4	13	41
13	52	40
13	9	40
13	24	39
6	31	39
20	12	39
27	3	39
46	13	39
33	14	39
3	21	38
3	23	38
7	12	37
34	13	37
25	14	37
22	3	37
11	13	37
4	14	37
6	1	37
2	6	36
3	40	36
3	16	36
14	52	36
3	26	36
14	24	35
6	49	35
3	29	35
11	7	35
10	9	35
46	14	35
27	9	34
34	14	34
3	31	34
6	33	33
11	20	33
