"context_name","dominio","issn","record_count_2023","record_count_2024","record_count_2025","crecimiento_2023_2024","total_historico","activa_2024","region_pkp"
"Bosque","revistas.uach.cl","0304-8799 0717-9200",68,39,18,-29,1287,TRUE,"Latin America & Caribbean"
"Estudios Filológicos","revistas.uach.cl","0071-1713 0717-6171",27,39,0,12,682,TRUE,"Latin America & Caribbean"
"Wire Insights: Journal of Innovation Insights","academiaone.org","2810-6458",40,39,6,-1,85,TRUE,"Latin America & Caribbean"
"Revista de la Construcción. Journal of Construction","revistadelaconstruccion.uc.cl","0718-915X",42,39,1,-3,471,TRUE,"Latin America & Caribbean"
"Revista Ius et Praxis","revistas.utalca.cl","0718-0012",0,39,0,39,39,TRUE,"Latin America & Caribbean"
"Revista Inclusiones","revistainclusiones.org","0719-4706",47,38,13,-9,2695,TRUE,"Latin America & Caribbean"
"Cuadernos de Historia","cuadernosdehistoria.uchile.cl","0716-1832 0719-1243",39,38,10,-1,736,TRUE,"Latin America & Caribbean"
"Intus - Legere Historia","intushistoria.uai.cl","0718-5456 0719-8949",41,38,27,-3,424,TRUE,"Latin America & Caribbean"
"Revista de Humanidades (Santiago. En línea)","revistahumanidades.unab.cl","0717-0491 2452-445X",31,38,38,7,553,TRUE,"Latin America & Caribbean"
"Ciencia y Enfermería","revistas.udec.cl","0717-9553",38,37,12,-1,783,TRUE,"Latin America & Caribbean"
"Materia Arquitectura","materiaarquitectura.com","0718-7033 2735-7503",14,37,13,23,512,TRUE,"Latin America & Caribbean"
"Journal of Technology Management & Innovation","www.jotmi.org","0718-2724",37,36,0,-1,978,TRUE,"Latin America & Caribbean"
"Revista Pedagogía Universitaria y Didáctica del Derecho","pedagogiaderecho.uchile.cl","0719-5885",29,36,0,7,251,TRUE,"Latin America & Caribbean"
"Boletín de Filología","boletinfilologia.uchile.cl","0067-9674 0718-9303",62,36,0,-26,1199,TRUE,"Latin America & Caribbean"
"Revista Chilena de Entomología","www.biotaxa.org","0034-740X 0718-8994",95,36,0,-59,542,TRUE,"Latin America & Caribbean"
"Revista Reflexión e Investigación Educacional","revistas.ubiobio.cl","2452-4638",23,35,26,12,154,TRUE,"Latin America & Caribbean"
"Revista Austral de Ciencias Sociales","revistas.uach.cl","0717-3202 0718-1795",27,35,22,8,595,TRUE,"Latin America & Caribbean"
"Journal of Latin American Studies on Disaster Risk Reduction REDER","www.revistareder.com","0719-8477",33,34,32,1,199,TRUE,"Latin America & Caribbean"
"Observatorio Económico","www.observatorioeconomico.cl","0719-9597",42,34,4,-8,564,TRUE,"Latin America & Caribbean"
"Neuma (Talca)","neuma.utalca.cl","0718-7017 0719-5389",8,34,10,26,259,TRUE,"Latin America & Caribbean"
"Márgenes. Espacio Arte y Sociedad","rhv.uv.cl","0718-4034 0719-4463",22,34,31,12,221,TRUE,"Latin America & Caribbean"
"Revista Derecho y Política Antártica","revistasdex.uchile.cl","Sin ISSN",0,34,0,34,34,TRUE,"Latin America & Caribbean"
"Cuadernos de Neuropsicologí­a / Panamerican Journal of Neuropsychology","www.cnps.cl","0718-4123",18,34,11,16,554,TRUE,"Latin America & Caribbean"
"Contexto","www.revistacontextoucen.cl","0719-1707 2810-6660",7,33,14,26,85,TRUE,"Latin America & Caribbean"
"Revista Hospital Clínico Universidad de Chile","revistahospitalclinico.uchile.cl","0716-7849 2735-7996",32,33,8,1,726,TRUE,"Latin America & Caribbean"
"Cuadernos de Beauchef","revistasdex.uchile.cl","2452-493X",13,32,1,19,142,TRUE,"Latin America & Caribbean"
"Revista de Innovación en Enseñanza de las Ciencias","reinnec.cl","0719-9007",16,32,14,16,152,TRUE,"Latin America & Caribbean"
"Revista Chilena de Estudios Medievales","revistas.ugm.cl","0719-2215 0719-689X",10,31,7,21,261,TRUE,"Latin America & Caribbean"
"Polis (Santiago)","revistas.ulagos.cl","0717-6554 0718-6568",33,31,3,-2,1274,TRUE,"Latin America & Caribbean"
"Teología y Vida","teologiayvida.uc.cl","0049-3449 0717-6295",35,31,7,-4,480,TRUE,"Latin America & Caribbean"
"Scientia","revistas.usm.cl","0716-8446",8,31,0,23,45,TRUE,"Latin America & Caribbean"
"Revista Ingeniería De Obras Civiles","rioc.ufro.cl","0719-0514",0,31,14,31,111,TRUE,"Latin America & Caribbean"
"Antropologías del Sur","revistas.academia.cl","0719-4498 0719-5532",18,30,13,12,276,TRUE,"Latin America & Caribbean"
"Gayana","gayana.cl","0717-652X 0717-6538",24,30,10,6,164,TRUE,"Latin America & Caribbean"
"CUBO, A Mathematical Journal","cubo.ufro.cl","0716-7776 0719-0646",30,30,16,0,821,TRUE,"Latin America & Caribbean"
"HYBRIS, Revista de Filosofí­a","revistas.cenaltes.cl","0718-8382",26,30,7,4,366,TRUE,"Latin America & Caribbean"
"Macrohistoria","www.macrohistoria.com","2735-749X",0,29,7,29,47,TRUE,"Latin America & Caribbean"
"Nueva Revista del Pacífico","revistas.upla.cl","0719-5176",22,29,16,7,263,TRUE,"Latin America & Caribbean"
"Ergonomía, Investigación y Desarrollo","revistas.udec.cl","2452-4859",27,28,22,1,211,TRUE,"Latin America & Caribbean"
"Revista Política y Estrategia","www.politicayestrategia.cl","0716-7415 0719-8027",22,28,0,6,244,TRUE,"Latin America & Caribbean"
"Chungara Revista de Antropología Chilena","www.chungara.cl","0717-7356",36,28,43,-8,214,TRUE,"Latin America & Caribbean"
"ANALES DE ARQUITECTURA UC","analesdearquitectura.uc.cl","2810-6075 2810-6490",19,28,0,9,136,TRUE,"Latin America & Caribbean"
"Journal of Movement & Health","jmh.ucv.cl","2452-5812",16,27,8,11,173,TRUE,"Latin America & Caribbean"
"Revista de Derecho (Valdivia)","revistaderechovaldivia.cl","0716-9132 0718-0950",34,27,16,-7,984,TRUE,"Latin America & Caribbean"
"Revista de Derecho y Ciencias Sociales","rduss.cl","0718-302X",12,27,19,15,78,TRUE,"Latin America & Caribbean"
"Boletín de la Sociedad Chilena de Arqueología","boletin.scha.cl","0716-5730 2735-7651",32,27,7,-5,749,TRUE,"Latin America & Caribbean"
"Teatro","revistateatro.uchile.cl","0719-6482 0719-6490",35,27,0,-8,154,TRUE,"Latin America & Caribbean"
"Revista Nodos","revistas.ugm.cl","2810-6008",7,27,9,20,43,TRUE,"Latin America & Caribbean"
"English Studies in Latin America: A Journal of Cultural and Literary Criticism","esla.letras.uc.cl","0719-9139",119,27,0,-92,231,TRUE,"Latin America & Caribbean"
"Revista de la Academia","revistas.academia.cl","0719-6318",15,26,11,11,183,TRUE,"Latin America & Caribbean"
"Revista Liminales. Escritos sobre Psicología y Sociedad","revistafacso.ucentral.cl","0718-4166 0719-7748",20,26,13,6,232,TRUE,"Latin America & Caribbean"
"Historia Agraria de América Latina","haal.cl","2452-5162",20,26,14,6,137,TRUE,"Latin America & Caribbean"
"LÍMITE Revista Interdisciplinaria de Filosofía y Psicología","revistalimite.uta.cl","0718-1361 0718-5065",25,26,15,1,247,TRUE,"Latin America & Caribbean"
"AUS - Arquitectura / Urbanismo / Sustentabilidad","revistas.uach.cl","0718-204X 0718-7262",15,26,25,11,454,TRUE,"Latin America & Caribbean"
"Pensamiento Educativo","pensamientoeducativo.uc.cl","0719-0409",25,26,0,1,755,TRUE,"Latin America & Caribbean"
"Veritas","rchd.uc.cl","0717-4675 0718-9273",13,26,4,13,478,TRUE,"Latin America & Caribbean"
"Nomadías","revistas.uchile.cl","0717-2761 0719-0905",0,25,27,25,631,TRUE,"Latin America & Caribbean"
"Revista de Estudios Tributarios","revistaestudiostributarios.uchile.cl","0718-9478 0719-7527",28,25,0,-3,350,TRUE,"Latin America & Caribbean"
"Meridional. Revista Chilena de Estudios Latinoamericanos","meridional.uchile.cl","0719-3734 0719-4862",35,25,11,-10,347,TRUE,"Latin America & Caribbean"
"Revista Ciencias de la Actividad Física UCM","revistaucmaule.ucm.cl","0717-408X 0719-4013",23,25,16,2,334,TRUE,"Latin America & Caribbean"
"Revista de Ciencias Sociales","revistas.uv.cl","0716-7725 0719-8442",30,25,12,-5,237,TRUE,"Latin America & Caribbean"
"Taller de Letras","tallerdeletras.letras.uc.cl","0716-0798",38,25,19,-13,463,TRUE,"Latin America & Caribbean"
"Revista Akadèmeia","revistas.ugm.cl","0717-9936 0718-9397",10,24,6,14,130,TRUE,"Latin America & Caribbean"
"Rumbos TS. Un espacio crítico para la reflexión en Ciencias Sociales","revistafacso.ucentral.cl","0718-4182 0719-7721",20,24,8,4,361,TRUE,"Latin America & Caribbean"
"Paideia Revista de Educación","revistas.udec.cl","2452-5154",0,24,15,24,232,TRUE,"Latin America & Caribbean"
"Revista Enfoques Educacionales","enfoqueseducacionales.uchile.cl","0717-3229 2735-7279",21,24,10,3,330,TRUE,"Latin America & Caribbean"
"Propuestas Críticas en Trabajo Social-Critical Proposals in Social Work","revistapropuestascriticas.uchile.cl","2735-6620",23,24,12,1,114,TRUE,"Latin America & Caribbean"
"Ciencia & Investigación Forestal","revista.infor.cl","0718-4530 0718-4646",13,24,0,11,596,TRUE,"Latin America & Caribbean"
"Revista Bits de Ciencia","revistasdex.uchile.cl","Sin ISSN",29,24,0,-5,333,TRUE,"Latin America & Caribbean"
"Sur y Tiempo: Revista de Historia de América","revistas.uv.cl","2452-574X",38,24,11,-14,115,TRUE,"Latin America & Caribbean"
"Revista Electrónica Diálogos Educativos. REDE","revistas.umce.cl","0718-1310",17,24,7,7,310,TRUE,"Latin America & Caribbean"
"Revista Historia y Patrimonio","rhp.uchile.cl","2810-6245",20,24,0,4,55,TRUE,"Latin America & Caribbean"
"Dorsal. Revista de Estudios Foucaultianos","revistas.cenaltes.cl","0719-7519",25,24,11,-1,236,TRUE,"Latin America & Caribbean"
"Revista de Arquitectura","dearquitectura.uchile.cl","0716-8772 0719-5427",25,23,0,-2,610,TRUE,"Latin America & Caribbean"
"Arboles y Rizomas","www.revistas.usach.cl","0719-9805",20,23,20,3,142,TRUE,"Latin America & Caribbean"
"Revista Chilena de Enfermería","revistachilenaenfermeria.uchile.cl","2452-5839",19,23,3,4,85,TRUE,"Latin America & Caribbean"
"Anuario de Derechos Humanos","anuariocdh.uchile.cl","0718-2058 0718-2279",23,23,0,0,458,TRUE,"Latin America & Caribbean"
"Revista de Filosofía","revistafilosofia.uchile.cl","0034-8236 0718-4360",31,23,0,-8,1177,TRUE,"Latin America & Caribbean"
"A.Dnz","adnz.uchile.cl","0719-4676",17,23,17,6,162,TRUE,"Latin America & Caribbean"
"Hábitat Sustentable","revistas.ubiobio.cl","0719-0700",20,22,11,2,242,TRUE,"Latin America & Caribbean"
"Terapia Psicológica","www.teps.cl","0716-6184 0718-4808",18,22,2,4,366,TRUE,"Latin America & Caribbean"
"Revista de Derecho Universidad de Concepción","revistas.udec.cl","0303-9986 0718-591X",25,22,19,-3,209,TRUE,"Latin America & Caribbean"
"Obras y Proyectos","revistas.ucsc.cl","0718-2805 0718-2813",19,22,13,3,207,TRUE,"Latin America & Caribbean"
"Revueltas. Revista chilena de Historia Social Popular","revistarevueltas.cl","2452-5707",31,22,27,-9,134,TRUE,"Latin America & Caribbean"
"Revista Gestión de las Personas y Tecnología","www.revistas.usach.cl","0718-5693",21,21,31,0,375,TRUE,"Latin America & Caribbean"
"Revista de Urbanismo","revistaurbanismo.uchile.cl","0717-5051",20,21,0,1,476,TRUE,"Latin America & Caribbean"
"Política. Revista de Ciencia Política","revistapolitica.uchile.cl","0716-1077 0719-5338",17,21,0,4,774,TRUE,"Latin America & Caribbean"
"Byzantion Nea Hellás","byzantion.uchile.cl","0716-2138 0718-8471",19,21,0,2,690,TRUE,"Latin America & Caribbean"
"Última Década","ultimadecada.uchile.cl","0717-4691 0718-2236",22,21,13,-1,581,TRUE,"Latin America & Caribbean"
"Revista stultifera","revistas.uach.cl","0719-983X",22,21,15,-1,152,TRUE,"Latin America & Caribbean"
"Revista ANACEM","revanacem.cl","0718-5308 0718-7041",0,21,44,21,66,TRUE,"Latin America & Caribbean"
"Castalia - Revista de Psicología de la Academia","revistas.academia.cl","0719-8051",19,20,20,1,170,TRUE,"Latin America & Caribbean"
"Revista Actos","revistas.academia.cl","2452-4727",24,20,12,-4,129,TRUE,"Latin America & Caribbean"
"Revista Chilena de Literatura","revistaliteratura.uchile.cl","0048-7651 0718-2295",67,20,11,-47,1902,TRUE,"Latin America & Caribbean"
"Estudios Avanzados","www.revistas.usach.cl","0718-5014",32,20,11,-12,356,TRUE,"Latin America & Caribbean"
"Economía y Política","www.economiaypolitica.cl","0719-4714 0719-4803",20,20,3,0,135,TRUE,"Latin America & Caribbean"
"Revista de Sociología","revistadesociologia.uchile.cl","0716-632X 0719-529X",24,20,0,-4,438,TRUE,"Latin America & Caribbean"
"Revista de Psicología","revistapsicologia.uchile.cl","0716-8039 0719-0581",16,20,0,4,609,TRUE,"Latin America & Caribbean"
"Átemus","revistaatemus.uchile.cl","0719-885X",11,20,0,9,149,TRUE,"Latin America & Caribbean"
"Revista Estudios de Políticas Públicas","revistaestudiospoliticaspublicas.uchile.cl","0719-6296",18,20,0,2,234,TRUE,"Latin America & Caribbean"
"TS Cuadernos de Trabajo Social","www.tscuadernosdetrabajosocial.cl","0719-6520",16,20,0,4,195,TRUE,"Latin America & Caribbean"
"Transformar","revistatransformar.cl","2735-6302",17,20,8,3,80,TRUE,"Latin America & Caribbean"
"Universum (Talca. En línea)","universum.utalca.cl","0716-498X 0718-2376",39,20,0,-19,193,TRUE,"Latin America & Caribbean"
"Revista Chilena de Reumatología","revistareumatologia.cl","2810-6032",56,20,12,-36,100,TRUE,"Latin America & Caribbean"
"Espacio Regional. Revista de Estudios Sociales","revistas.ulagos.cl","0718-1604 2735-6175",36,20,0,-16,249,TRUE,"Latin America & Caribbean"
"Sociedad & Riesgo","revistasdex.uchile.cl","Sin ISSN",0,20,0,20,20,TRUE,"Latin America & Caribbean"
"Avances en Ciencia e Ingeniería","acijournal.cl","0718-8706",0,20,0,20,20,TRUE,"Latin America & Caribbean"
