issn_consultado,sherpa_id,titulo_sherpa,editorial,open_access_policy,self_archiving_policy,copyright_policy,embargo_months,preprint_archiving,postprint_archiving,publisher_version_archiving,found_in_sherpa,error,context_name,dominio,total_record_count
2340-924X,,,,,,,,,,,False,,"European Journal of Child Development, Education and Psychopathology",revistas.uautonoma.cl,113
0033-698X;0718-4883,,,,,,,,,,,False,,RLA. Revista de Lingüística Teórica y Aplicada,revistas.udec.cl,109
0719-1790,,,,,,,,,,,False,,Revista Iberoamericana de Estudios Municipales,revistas.uautonoma.cl,180
0027-3910;0719-935X,,,,,,,,,,,False,,Boletín Museo Nacional de Historia Natural,boletinmnhn.cl,932
0719-3114,,,,,,,,,,,False,,Boletín Micológico,revistas.uv.cl,571
0719-1146;2735-7317,,,,,,,,,,,False,,Revista summa de arithmetica,www.revista-sda.cl,51
0718-1191;2452-607X,,,,,,,,,,,False,,Boletín Científico Tecnológico,boletincientifico.cl,44
0719-9902,,,,,,,,,,,False,,Grecorromana. Revista Chilena de Estudios Clásicos,grecorromana.unab.cl,44
2810-6253;2810-6369,,,,,,,,,,,False,,Revista Relatos,relatos.unab.cl,20
0719-8728,,,,,,,,,,,False,,STEINIANA: Revista de Estudios Interdisciplinarios,revistasteiniana.uc.cl,74
0719-515X;2452-5928,,,,,,,,,,,False,,Base Diseño e Innovación,revistas.udd.cl,232
2452-5448,,,,,,,,,,,False,,Revista Chilena de Educación Matemática,www.sochiem.cl,51
0718-7017;0719-5389,,,,,,,,,,,False,,Neuma (Talca),neuma.utalca.cl,239
2452-4247;2452-4255,,,,,,,,,,,False,,Mirador Mundial,www.politicayestrategia.cl,48
2810-6636,,,,,,,,,,,False,,Vincularte,revistavincularte.cl,77
2810-6164,,,,,,,,,,,False,,Revista de Educación Estadística,revistaucmaule.ucm.cl,27
0716-8446,,,,,,,,,,,False,,Scientia,revistas.usm.cl,45
0717-9936;0718-9397,,,,,,,,,,,False,,Revista Akadèmeia,revistas.ugm.cl,102
0719-7438,,,,,,,,,,,False,,Polyphōnía. Revista de Educación Inclusiva / Polyphōnía. Journal of Inclusive Education,revista.celei.cl,131
0719-1707;2810-6660,,,,,,,,,,,False,,Contexto,www.revistacontextoucen.cl,53
0719-5737,,,,,,,,,,,False,,REVISTA DE HUMANIDADES Y CIENCIAS SOCIALES Y MULTIDISCIPLINARIA,100cs.cl,157
0719-5729,,,,,,,,,,,False,,Revista Observatorio del Deporte,revistaobservatoriodeldeporte.cl,254
0717-0653;0719-0816,,,,,,,,,,,False,,Estudios de Administración,estudiosdeadministracion.uchile.cl,205
2452-5340,,,,,,,,,,,False,,Journal of Management & Business Studies,revistas.uautonoma.cl,66
0718-1906;0718-9958,,,,,,,,,,,False,,Revista de Estudiantes de Medicina del Sur,rems.ufro.cl,121
2735-7325,,,,,,,,,,,False,,Cuadernos de Enfermería,revistaucmaule.ucm.cl,21
0719-630X,,,,,,,,,,,False,,Panambí. Revista de Investigaciones Artísticas,revistas.uv.cl,165
2735-7600,,,,,,,,,,,False,,Revista Odontológica Científica Chilena,rocc.uchile.cl,29
2452-5006,,,,,,,,,,,False,,Pragmatika review,pragmatikasolutions.com,134
0718-5480;0718-7378,,,,,,,,,,,False,,Revista Latinoamericana de Educación Inclusiva,revistainclusiva.ucentral.cl,181
0716-291X,,,,,,,,,,,False,,Remetallica,www.revistas.usach.cl,234
2810-7659,,,,,,,,,,,False,,Pro Jure Revista de Derecho - Pontificia Universidad Católica de Valparaíso,www.projurepucv.cl,1043
2735-6310,,,,,,,,,,,False,,Boletín de Anestesia,boletinanestesia.uchile.cl,20
0718-7653;0718-9249,,,,,,,,,,,False,,Revista Geográfica del Sur,revistas.udec.cl,24
0719-8078,,,,,,,,,,,False,,Pensamiento y Acción Interdisciplinaria,revistapai.ucm.cl,133
0719-6202,,,,,,,,,,,False,,"Revista Infancia, Educación y Aprendizaje",revistas.uv.cl,381
