issn_consultado,sherpa_id,titulo_sherpa,editorial,open_access_policy,self_archiving_policy,copyright_policy,embargo_months,preprint_archiving,postprint_archiving,publisher_version_archiving,found_in_sherpa,error,context_name,dominio,total_record_count
0718-2724,,,,,,,,,,,False,,Journal of Technology Management & Innovation,www.jotmi.org,960
0719-9740,,,,,,,,,,,False,,Revista Avante de Ciencias Sociales y Humanidades,revista-avante.com,80
0718-1604;2735-6175,,,,,,,,,,,False,,Espacio Regional. Revista de Estudios Sociales,revistas.ulagos.cl,237
0716-0747,,,,,,,,,,,False,,Revista Chilena de Derecho,revistachilenadederecho.uc.cl,2032
0716-2790;0717-6252,,,,,,,,,,,False,,Revista Musical Chilena,revistamusicalchilena.uchile.cl,4541
0717-7356,,,,,,,,,,,False,,Chungara Revista de Antropología Chilena,www.chungara.cl,162
0719-3734;0719-4862,,,,,,,,,,,False,,Meridional. Revista Chilena de Estudios Latinoamericanos,revistas.uchile.cl,323
0718-1299;0718-8358,,,,,,,,,,,False,,Revista INVI,revistainvi.uchile.cl,789
0719-6482;0719-6490,,,,,,,,,,,False,,Teatro,revistateatro.uchile.cl,127
0049-3449;0717-6295,,,,,,,,,,,False,,Teología y Vida,teologiayvida.uc.cl,465
0718-5073,,,,,,,,,,,False,,Revista Ingeniería de Construcción,revistaingenieriaconstruccion.uc.cl,675
0718-1051;0719-1855,,,,,,,,,,,False,,ARS MEDICA Revista de Ciencias Médicas,www.arsmedica.cl,1574
0716-9132;0718-0950,,,,,,,,,,,False,,Revista de Derecho (Valdivia),revistaderechovaldivia.cl,954
0719-2460;0719-2479,,,,,,,,,,,False,,Journal of Oral Research,www.joralres.com,839
0719-8477,,,,,,,,,,,False,,Journal of Latin American Studies on Disaster Risk Reduction REDER,www.revistareder.com,167
0719-4234;0719-4242,,,,,,,,,,,False,,Revista de Humanidades de Valparaíso,revistas.uv.cl,264
0717-4888;0719-5591,,,,,,,,,,,False,,Revista de Derecho Administrativo,redae.uc.cl,584
0719-2576;0719-2584,,,,,,,,,,,False,,Revista Chilena de Derecho y Tecnología,rchdt.uchile.cl,215
0718-5014,,,,,,,,,,,False,,Estudios Avanzados,www.revistas.usach.cl,336
0716-5730;2735-7651,,,,,,,,,,,False,,Boletín de la Sociedad Chilena de Arqueología,boletin.scha.cl,731
0716-7849;2735-7996,,,,,,,,,,,False,,Revista Hospital Clínico Universidad de Chile,revistahospitalclinico.uchile.cl,511
0717-6554;0718-6568,,,,,,,,,,,False,,Polis (Santiago),revistas.ulagos.cl,1248
0067-8767,,,,,,,,,,,False,,Biologia Pesquera,revistas.ucsc.cl,157
2452-5707,,,,,,,,,,,False,,Revueltas. Revista chilena de Historia Social Popular,revistarevueltas.cl,100
0719-4749,,,,,,,,,,,False,,Revista de Historia Social y de las Mentalidades,www.revistas.usach.cl,481
0034-8236;0718-4360,,,,,,,,,,,False,,Revista de Filosofía,revistafilosofia.uchile.cl,1155
0717-0491;2452-445X,,,,,,,,,,,False,,Revista de humanidades (Santiago. En línea),revistahumanidades.unab.cl,511
0716-7725;0719-8442,,,,,,,,,,,False,,Revista de Ciencias Sociales,revistas.uv.cl,210
0716-7776;0719-0646,,,,,,,,,,,False,,"CUBO, A Mathematical Journal",cubo.ufro.cl,799
0716-3991;0719-1529,,,,,,,,,,,False,,Comunicación y Medios,comunicacionymedios.uchile.cl,756
0719-0417;2735-7473,,,,,,,,,,,False,,Revista Punto Género,revistapuntogenero.uchile.cl,225
0719-5885,,,,,,,,,,,False,,Revista Pedagogía Universitaria y Didáctica del Derecho,pedagogiaderecho.uchile.cl,234
0719-2223;2452-4646,,,,,,,,,,,False,,Palabra y Razón,revistapyr.ucm.cl,166
0716-4491;2452-5553,,,,,,,,,,,False,,Revista Chilena de Neurocirugía,revistachilenadeneurocirugia.com,233
0719-7942,,,,,,,,,,,False,,Revista Jurídica Digital UANDES,rjd.uandes.cl,152
0719-8264,,,,,,,,,,,False,,Revista de Estudiantes de Terapia Ocupacional,www.reto.ubo.cl,127
0718-9478;0719-7527,,,,,,,,,,,False,,Revista de Estudios Tributarios,revistaestudiostributarios.uchile.cl,338
2452-4859,,,,,,,,,,,False,,"Ergonomía, Investigación y Desarrollo",revistas.udec.cl,177
0071-1713;0717-6171,,,,,,,,,,,False,,Estudios Filológicos,revistas.uach.cl,660
0717-3202;0718-1795,,,,,,,,,,,False,,Revista Austral de Ciencias Sociales,revistas.uach.cl,554
0717-6759;0717-8980,,,,,,,,,,,False,,"Estado, Gobierno y Gestión Pública",revistaeggp.uchile.cl,212
0719-8000;0719-8132,,,,,,,,,,,False,,Austral Journal of Veterinary Sciences,www.ajvs.cl,195
0717-1714,,,,,,,,,,,False,,Revista Perspectivas: Notas sobre intervención y acción social,ediciones.ucsh.cl,385
0718-8382,,,,,,,,,,,False,,"HYBRIS, Revista de Filosofí­a",coloquio2019.cenaltes.cl,329
0716-8772;0719-5427,,,,,,,,,,,False,,Revista de Arquitectura,dearquitectura.uchile.cl,598
0303-9986;0718-591X,,,,,,,,,,,False,,Revista de Derecho Universidad de Concepción,revistas.udec.cl,179
0718-1361;0718-5065,,,,,,,,,,,False,,LÍMITE Revista Interdisciplinaria de Filosofía y Psicología,revistalimite.uta.cl,222
0719-7586,,,,,,,,,,,False,,Perfiles Económicos,revistas.uv.cl,126
0719-0409,,,,,,,,,,,False,,Pensamiento Educativo,pensamientoeducativo.uc.cl,746
0716-5919,,,,,,,,,,,False,,Limes: Revista de Estudios Clásicos,revistas.umce.cl,25
0718-9788;0719-9589,,,,,,,,,,,False,,Aporía · Revista Internacional de Investigaciones Filosóficas,revistadelaconstruccion.uc.cl,129
2452-4727,,,,,,,,,,,False,,Revista Actos,revistas.academia.cl,106
0717-6767;0719-5346,,,,,,,,,,,False,,Revista Chilena de Terapia Ocupacional,revistaterapiaocupacional.uchile.cl,471
0716-632X;0719-529X,,,,,,,,,,,False,,Revista de Sociología,revistadesociologia.uchile.cl,432
0717-652X;0717-6538,,,,,,,,,,,False,,Gayana,gayana.cl,135
2452-4638,,,,,,,,,,,False,,Revista Reflexión e Investigación Educacional,revistas.ubiobio.cl,124
0718-2058;0718-2279,,,,,,,,,,,False,,Anuario de Derechos Humanos,anuariocdh.uchile.cl,445
2735-6620,,,,,,,,,,,False,,Propuestas Críticas en Trabajo Social-Critical Proposals in Social Work,revistapropuestascriticas.uchile.cl,90
0717-408X;0719-4013,,,,,,,,,,,False,,Revista Ciencias de la Actividad Física UCM,revistacaf.ucm.cl,313
0717-3326;0718-1957,,,,,,,,,,,False,,Revista de Biología Marina y Oceanografía,revistas.uv.cl,276
0719-790X,,,,,,,,,,,False,,Resonancias. Revista de Filosofía,resonancias.uchile.cl,136
0717-4691;0718-2236,,,,,,,,,,,False,,Última Década,ultimadecada.uchile.cl,557
0716-7415;0719-8027,,,,,,,,,,,False,,Revista Política y Estrategia,www.politicayestrategia.cl,236
0718-4034;0719-4463,,,,,,,,,,,False,,Márgenes. Espacio Arte y Sociedad,rhv.uv.cl,190
0719-983X,,,,,,,,,,,False,,Revista stultifera,revistas.uach.cl,137
2452-4344,,,,,,,,,,,False,,Revista de Derecho Aplicado LLM UC,ojs.uc.cl,94
0379-8682;0718-3402,,,,,,,,,,,False,,Revista de Geografía Norte Grande,revistanortegrande.uc.cl,1098
0719-2932,,,,,,,,,,,False,,Revista Planeo,revistadelaconstruccion.uc.cl,39
0719-7160,,,,,,,,,,,False,,Revista Latinoamericana de Derecho y Religión,revistalatderechoyreligion.uc.cl,196
0718-5693,,,,,,,,,,,False,,Revista Gestión de las Personas y Tecnología,www.revistas.usach.cl,358
0717-4357;0718-8749,,,,,,,,,,,False,,Cuadernos Judaicos,cuadernosjudaicos.uchile.cl,340
0719-3904;0719-532X,,,,,,,,,,,False,,International Journal of Medical and Surgical Sciences,revistas.uautonoma.cl,396
0717-3229;2735-7279,,,,,,,,,,,False,,Revista Enfoques Educacionales,enfoqueseducacionales.uchile.cl,310
0718-0527,,,,,,,,,,,False,,MAD,revistamad.uchile.cl,358
0719-997X,,,,,,,,,,,False,,Amoxtli,revistas.uft.cl,76
0718-8447;2452-4298,,,,,,,,,,,False,,Diseña,www.revistadisena.uc.cl,176
2452-6037,,,,,,,,,,,False,,Revista Ethika+,revistaethika.uchile.cl,120
0719-0700,,,,,,,,,,,False,,Hábitat Sustentable,revistas.ubiobio.cl,219
0718-4166;0719-7748,,,,,,,,,,,False,,Revista Liminales. Escritos sobre Psicología y Sociedad,revistafacso.ucentral.cl,203
0718-4182;0719-7721,,,,,,,,,,,False,,Rumbos TS. Un espacio crítico para la reflexión en Ciencias Sociales,revistafacso.ucentral.cl,337
0718-9753,,,,,,,,,,,False,,Revista de derecho (Coquimbo),revistaderecho.ucn.cl,743
0717-4659;0719-4692,,,,,,,,,,,False,,Revista Chilena de Fonoaudiología,revfono.uchile.cl,231
2452-5162,,,,,,,,,,,False,,Historia Agraria de América Latina,haal.cl,114
0719-9805,,,,,,,,,,,False,,Arboles y Rizomas,www.revistas.usach.cl,111
0716-0909;0717-6848,,,,,,,,,,,False,,Acta Literaria,revistas.udec.cl,451
0717-5051,,,,,,,,,,,False,,Revista de Urbanismo,revistaurbanismo.uchile.cl,466
0378-8482;0719-9562,,,,,,,,,,,False,,Revista Geográfica de Chile Terra Australis,www.revistaterraaustralis.cl,90
2810-6245,,,,,,,,,,,False,,Revista Historia y Patrimonio,rhp.uchile.cl,42
2810-6210,,,,,,,,,,,False,,Revista Científica Cuadernos de Investigación,cuadernosdeinvestigacion.unach.cl,35
0717-3997;0718-3607,,,,,,,,,,,False,,Urbano,revistas.ubiobio.cl,637
0719-8051,,,,,,,,,,,False,,Castalia - Revista de Psicología de la Academia,revistas.academia.cl,150
2452-5839,,,,,,,,,,,False,,Revista Chilena de Enfermería,revistachilenaenfermeria.uchile.cl,73
0716-2138;0718-8471,,,,,,,,,,,False,,Byzantion Nea Hellás,byzantion.uchile.cl,668
0718-2805;0718-2813,,,,,,,,,,,False,,Obras y Proyectos,revistas.ucsc.cl,109
0717-0599;2735-6337,,,,,,,,,,,False,,Revista de Derecho de la Universidad Católica de la Santísima Concepción,revistas.ucsc.cl,108
2810-6075;2810-6490,,,,,,,,,,,False,,ANALES DE ARQUITECTURA UC,analesdearquitectura.uc.cl,136
0719-4498;0719-5532,,,,,,,,,,,False,,Antropologías del Sur,revistas.academia.cl,246
0719-2959;0719-5354,,,,,,,,,,,False,,Derecho Público Iberoamericano,revistas.udd.cl,270
0719-837X;0719-8426,,,,,,,,,,,False,,RChD: creación y pensamiento,rchd.uchile.cl,214
0718-5898,,,,,,,,,,,False,,Palimpsesto,www.revistas.usach.cl,181
0716-6184;0718-4808,,,,,,,,,,,False,,Terapia Psicológica,teps.cl,363
2735-606X;2735-6078,,,,,,,,,,,False,,"URBE. Arquitectura, Ciudad y Territorio",revistas.udec.cl,67
0719-6296,,,,,,,,,,,False,,Revista Estudios de Políticas Públicas,revistaestudiospoliticaspublicas.uchile.cl,224
0719-3483;2810-627X,,,,,,,,,,,False,,Cuadernos Chilenos de Historia de la Educación,historiadelaeducacion.cl,200
2452-5936,,,,,,,,,,,False,,Revista de Educación Religiosa,revistas.uft.cl,112
0718-9575;0719-5370,,,,,,,,,,,False,,Investigaciones Geográficas: Una mirada desde el sur,investigacionesgeograficas.uchile.cl,360
0716-0240;0719-3769,,,,,,,,,,,False,,Estudios Internacionales,revistaei.uchile.cl,1608
2452-4980,,,,,,,,,,,False,,Revista Estudios en Educación,ojs.umc.cl,142
0716-1077;0719-5338,,,,,,,,,,,False,,Política. Revista de Ciencia Política,revistapolitica.uchile.cl,763
0716-310X;0719-7462,,,,,,,,,,,False,,Revista de Derecho Económico,revistaderechoeconomico.uchile.cl,427
0719-4676,,,,,,,,,,,False,,A.Dnz,adnz.uchile.cl,145
2735-6302,,,,,,,,,,,False,,Transformar,revistatransformar.cl,68
0304-8802;0719-4196,,,,,,,,,,,False,,Agro sur,revistas.uach.cl,586
0718-1310,,,,,,,,,,,False,,Revista Electrónica Diálogos Educativos. REDE,revistas.umce.cl,299
2452-6134,,,,,,,,,,,False,,Revista Realidad Educativa,revistas.uft.cl,51
2735-6957,,,,,,,,,,,False,,Praxispsi,praxispsi.udp.cl,161
2452-5812,,,,,,,,,,,False,,Journal of Movement & Health,jmh.ucv.cl,157
0718-7432;0719-5699,,,,,,,,,,,False,,Tiempo Histórico,revistas.academia.cl,280
0716-3312;0719-1472,,,,,,,,,,,False,,Revista Chilena de Antropología,revistas.uchile.cl,457
0719-9392,,,,,,,,,,,False,,Revista Justicia & Derecho,revistas.uautonoma.cl,126
0716-8039;0719-0581,,,,,,,,,,,False,,Revista de Psicología,revistapsicologia.uchile.cl,598
0719-6520,,,,,,,,,,,False,,TS Cuadernos de Trabajo Social,www.tscuadernosdetrabajosocial.cl,183
0719-7276,,,,,,,,,,,False,,Revista de Teoría del Arte,revistateoriadelarte.uchile.cl,406
0718-0853;0718-4735,,,,,,,,,,,False,,Revista de Estudios de la Justicia,rej.uchile.cl,313
2452-5014,,,,,,,,,,,False,,Revista Saberes Educativos,sabereseducativos.uchile.cl,129
0718-4727;0718-5472,,,,,,,,,,,False,,Cultura y Religión,revistaculturayreligion.cl,391
0716-730X;0719-0883,,,,,,,,,,,False,,Persona y Sociedad,personaysociedad.uahurtado.cl,310
0718-5766;0719-3432,,,,,,,,,,,False,,Encrucijada Americana,encrucijadaamericana.uahurtado.cl,216
0716-7598,,,,,,,,,,,False,,Rompefilas,rompefilas.cl,37
0719-7128,,,,,,,,,,,False,,Revista Educación Las Américas,revistas.udla.cl,122
0717-554X,,,,,,,,,,,False,,Cinta de Moebio. Revista de Epistemología de Ciencias Sociales,cintademoebio.uchile.cl,572
2735-7074,,,,,,,,,,,False,,Gobierno y Administración Pública,revistas.udec.cl,59
2735-7287,,,,,,,,,,,False,,Revista Chilena de Rehabilitación y Actividad Física,revistas.uautonoma.cl,41
0719-9007,,,,,,,,,,,False,,Revista de Innovación en Enseñanza de las Ciencias,reinnec.cl,125
0717-2710;0718-0772,,,,,,,,,,,False,,Foro Educacional,ediciones.ucsh.cl,219
0718-4980;0719-6504,,,,,,,,,,,False,,Hermenéutica Intercultural,ediciones.ucsh.cl,239
2318-650X,,,,,,,,,,,False,,Revista Sul-Americana de Psicologia,ediciones.ucsh.cl,200
0718-3992;0718-400X,,,,,,,,,,,False,,Multidisciplinary Business Review,journals.publicknowledgeproject.org,198
0719-9104;0719-9112,,,,,,,,,,,False,,Latin American Legal Studies,lals.uai.cl,102
2735-6523,,,,,,,,,,,False,,Revista INTEREDU,revistas.ulagos.cl,129
2735-7228,,,,,,,,,,,False,,Revista de Trabajo Social,revistatrabajosocial.uc.cl,503
0716-2677;0719-6466,,,,,,,,,,,False,,ARQUITECTURAS DEL SUR,revistas.ubiobio.cl,560
0719-6318,,,,,,,,,,,False,,Revista de la Academia,revistas.academia.cl,160
0718-0195;0718-5200,,,,,,,,,,,False,,Estudios Constitucionales,www.estudiosconstitucionales.cl,501
0016-5301;0717-6643,,,,,,,,,,,False,,Gayana Botanica,gayanabotanica.cl,183
0718-655X;0719-3696,,,,,,,,,,,False,,Pléyade,revistapleyade.cl,363
0718-204X;0718-7262,,,,,,,,,,,False,,AUS [Arquitectura / Urbanismo / Sustentabilidad],revistas.uach.cl,429
2735-6140,,,,,,,,,,,False,,Littera Scripta,litterascripta.unab.cl,58
0718-0101;0719-4633,,,,,,,,,,,False,,Revista de Derecho Ambiental,revistas.uchile.cl,207
0719-4773,,,,,,,,,,,False,,Mutatis Mutandis: Revista Internacional de Filosofía,revistamutatismutandis.com,263
2452-4875,,,,,,,,,,,False,,Revista Electrónica de Investigación en Docencia Universitaria,reidu.cl,68
0719-5605,,,,,,,,,,,False,,Revista Sophia Austral,www.sophiaaustral.cl,196
0718-4379;2735-7058,,,,,,,,,,,False,,Revista Central de Sociología,www.centraldesociologia.cl,137
0719-4404,,,,,,,,,,,False,,Revista Notas Históricas y Geográficas,revistanotashistoricasygeograficas.cl,420
0718-2910;0719-0948,,,,,,,,,,,False,,Si Somos Americanos,sisomosamericanos.cl,384
0716-0518;0719-1723,,,,,,,,,,,False,,Revista Educación Física Chile,revistas.umce.cl,87
0718-7033;2735-7503,,,,,,,,,,,False,,Materia Arquitectura,materiaarquitectura.com,489
2452-5308,,,,,,,,,,,False,,Revista Protesta y Carisma,revistaprotestaycarisma.cl,61
0719-3351,,,,,,,,,,,False,,Convergencia Educativa,revistaucmaule.ucm.cl,104
2452-5758,,,,,,,,,,,False,,Revista ProPulsión Interdisciplina en Ciencias Sociales y Humanidades,ojs.revpropulsion.cl,70
2452-5820,,,,,,,,,,,False,,Revista Matronería Actual,revistas.uv.cl,76
0719-4137;0719-4145,,,,,,,,,,,False,,Revista de Historia y Geografía,ediciones.ucsh.cl,207
2735-7961;2735-797X,,,,,,,,,,,False,,Inmanere,revistas.ucsc.cl,26
