issn_buscado,openalex_id,works_count,cited_by_count,h_index,2yr_mean_citedness,is_in_openalex,error
2738-2796;2738-294X,,0,0,0,0.0,False,
1829-4561;2738-2605,,0,0,0,0.0,False,
1829-4553;2738-2621,,0,0,0,0.0,False,
1829-4952,S4210169485,92,12,1,0.02,True,
1829-4529;2738-2613,,0,0,0,0.0,False,
1829-0523,S4387282778,0,0,1,0.038461538461538464,True,
2579-2881;2953-7886,,0,0,0,0.0,False,
1829-1295;2953-7878,,0,0,0,0.0,False,
1829-4111,,0,0,0,0.0,False,
2738-2656,S4210204398,44,43,4,0.3409090909090909,True,
2579-2938;2738-263X,,0,0,0,0.0,False,
2579-2946;2738-2648,,0,0,0,0.0,False,
1829-1163,S4210176595,96,260,7,0.5245901639344263,True,
1829-4405,S4210184281,39,24,3,0.2857142857142857,True,
1829-4502;2953-8254,,0,0,0,0.0,False,
1829-1376,S4387287853,0,0,4,0.023809523809523808,True,
2579-292X,S4389157813,0,0,0,0.0,True,
1829-3824;2738-2753,,0,0,0,0.0,False,
2664-259X,S4210207775,37,62,4,0.2647058823529412,True,
2789-4487,,0,0,0,0.0,False,
2304-0688,,0,0,0,0.0,False,
2183-5063;2184-061X,,0,0,0,0.0,False,
2959-3409,,0,0,0,0.0,False,
2789-3138,,0,0,0,0.0,False,
2709-8931,,0,0,0,0.0,False,
2789-2824;2789-2832,,0,0,0,0.0,False,
2708-2989,S4210214533,19,30,3,0.0,True,
2707-5400,,0,0,0,0.0,False,
2790-0606,S4210216120,6,8,2,0.0,True,
2790-6124,,0,0,0,0.0,False,
2409-0131,,0,0,0,0.0,False,
2957-7756,,0,0,0,0.0,False,
2707-353X,,0,0,0,0.0,False,
2314-3991,,0,0,0,0.0,False,
1668-0227;1853-3523,,0,0,0,0.0,False,
2953-4860,S4387288571,0,0,14,0.3671875,True,
0325-5247;2346-9420,,0,0,0,0.0,False,
2451-5329,,0,0,0,0.0,False,
2451-6910,S4404677444,0,0,2,0.1111111111111111,True,
2796-9711,S4387280997,0,0,16,0.8024691358024691,True,
1669-8568;2313-9277,,0,0,0,0.0,False,
0325-8203;1668-7027,,0,0,0,0.0,False,
1514-3465,S4210192356,548,373,7,0.14540059347181009,True,
0014-6722;1853-0605,,0,0,0,0.0,False,
2451-7496,,0,0,0,0.0,False,
1668-5458;2953-3538,,0,0,0,0.0,False,
2422-5444;2422-5541,,0,0,0,0.0,False,
1850-3748,S2738767305,2115,1653,13,0.04986149584487535,True,
1850-2032;2591-3735,,0,0,0,0.0,False,
1853-6700,,0,0,0,0.0,False,
0325-772X;2525-0884,,0,0,0,0.0,False,
2953-4917,S4387287557,0,0,21,1.5360824742268042,True,
1852-9488,S4210199945,325,203,6,0.2655367231638418,True,
2796-9320,S4387280141,0,0,6,0.31645569620253167,True,
2408-395X;2408-3968,,0,0,0,0.0,False,
2469-1143,,0,0,0,0.0,False,
2346-9404,,0,0,0,0.0,False,
1853-1318;1853-1326,,0,0,0,0.0,False,
0326-7083,S4210172958,22,2,1,0.0,True,
3008-9085,S4404661748,0,0,12,0.5111111111111111,True,
1669-6581,S4210241017,758,609,7,0.16176470588235295,True,
2591-5568,,0,0,0,0.0,False,
1852-060X;1852-4826,,0,0,0,0.0,False,
1515-1786;1852-7434,,0,0,0,0.0,False,
2545-6245;2591-3840,,0,0,0,0.0,False,
2796-9924,,0,0,0,0.0,False,
1853-3701,S4210179705,867,1413,14,0.0684931506849315,True,
2250-5210;2422-7188,,0,0,0,0.0,False,
1852-4516,S2738876750,336,455,7,0.22549019607843138,True,
0329-5192;2344-9225,,0,0,0,0.0,False,
2618-2726,,0,0,0,0.0,False,
2618-4311;2618-4427,,0,0,0,0.0,False,
0326-7091;2250-6101,,0,0,0,0.0,False,
2683-8818,S4210235966,315,68,2,0.022900763358778626,True,
2718-7845,S4210220209,108,66,4,0.04395604395604396,True,
0327-5477;1667-782X,,0,0,0,0.0,False,
1850-9371;2314-3061,,0,0,0,0.0,False,
2718-8965,,0,0,0,0.0,False,
0327-6139;2718-904X,,0,0,0,0.0,False,
0326-7911;2250-7728,,0,0,0,0.0,False,
0329-8213;2469-0732,,0,0,0,0.0,False,
1851-2658;2718-7446,,0,0,0,0.0,False,
2591-670X,,0,0,0,0.0,False,
0326-7725;3008-8305,,0,0,0,0.0,False,
2313-9676,,0,0,0,0.0,False,
0326-5102;2684-0499,,0,0,0,0.0,False,
0041-6932;1669-9637,,0,0,0,0.0,False,
2524-9290,,0,0,0,0.0,False,
2953-5247,S4387288861,0,0,4,0.20270270270270271,True,
1853-6654,S4404669547,0,0,0,0.0,True,
2796-7433,,0,0,0,0.0,False,
2591-4669,S4210236222,69,26,2,0.14705882352941177,True,
0328-9702;2313-934X,,0,0,0,0.0,False,
2422-779X,,0,0,0,0.0,False,
2362-5031,,0,0,0,0.0,False,
0048-7600;2250-639X,,0,0,0,0.0,False,
1852-0278;1853-8088,,0,0,0,0.0,False,
1851-992X,S4210173567,425,561,8,0.11214953271028037,True,
2314-1530;2314-2138,,0,0,0,0.0,False,
2525-1112,S4210191487,292,193,5,0.125,True,
0326-646X;1666-5694,,0,0,0,0.0,False,
2953-4275,S4387284759,0,0,5,0.47540983606557374,True,
2953-4615,,0,0,0,0.0,False,
1853-4112;2718-658X,,0,0,0,0.0,False,
2250-4559,,0,0,0,0.0,False,
0325-2221;1852-1479,,0,0,0,0.0,False,
2618-2734,,0,0,0,0.0,False,
0004-4822;1851-8249,,0,0,0,0.0,False,
1850-9959;1851-0086,,0,0,0,0.0,False,
2796-9096,S4387278566,0,0,3,0.1590909090909091,True,
1668-8848;2618-5385,,0,0,0,0.0,False,
1853-2845;2591-2852,,0,0,0,0.0,False,
2545-6024,,0,0,0,0.0,False,
1668-3633,S4404669374,0,0,0,0.0,True,
1852-9550,S4306513045,230,1130,10,0.0,True,
2683-9237,,0,0,0,0.0,False,
2362-616X,S4210188439,42,27,2,0.0,True,
2718-6571,,0,0,0,0.0,False,
2525-2089,S4210202229,135,42,3,0.16901408450704225,True,
1853-4392,S2736982390,205,151,4,0.2,True,
2469-1119,S2756400385,552,207,21,0.16071428571428573,True,
2362-1958,,0,0,0,0.0,False,
0327-1676;1668-8090,,0,0,0,0.0,False,
1853-5925,S4404675286,0,0,1,0.0,True,
1852-8023,S2737832243,502,279,7,0.0,True,
0373-580X;1851-2372,,0,0,0,0.0,False,
1852-6098,S4210171840,553,1234,14,0.3559322033898305,True,
2618-4524,,0,0,0,0.0,False,
2362-6453,,0,0,0,0.0,False,
0325-108X,S4390296601,0,0,7,0.022727272727272728,True,
2718-8752,,0,0,0,0.0,False,
0327-7550;2683-9679,,0,0,0,0.0,False,
2591-3565,,0,0,0,0.0,False,
1851-4715,S4306521833,289,398,9,0.0,True,
2953-3724,S4387288961,0,0,2,0.06666666666666667,True,
0327-4934;2250-6950,,0,0,0,0.0,False,
0328-9230;2683-8451,,0,0,0,0.0,False,
1851-7471,S2736327639,965,3184,18,0.5340909090909091,True,
