issn_buscado,openalex_id,works_count,cited_by_count,h_index,2yr_mean_citedness,is_in_openalex,error,is_oa,is_in_doaj,apc_usd,apc_prices,host_organization_name,host_organization,societies,i10_index,is_core,counts_by_year,created_date,updated_date,display_name,homepage_url,country_code,type,abbreviated_title,alternate_titles,context_name,dominio,total_historico,record_count_2023,indice_visibilidad,tasa_indexacion_openalex
0716-1115;0718-3089,S4210184383,1271,2695,22,0.6666666666666666,True,,True,False,,[],,,[],70,False,"[{'year': 1989, 'works_count': 1, 'cited_by_count': 12}, {'year': 1988, 'works_count': 3, 'cited_by_count': 8}, {'year': 1987, 'works_count': 3, 'cited_by_count': 2}, {'year': 1986, 'works_count': 1, 'cited_by_count': 2}, {'year': 1985, 'works_count': 1, 'cited_by_count': 1}, {'year': 1984, 'works_count': 1, 'cited_by_count': 1}, {'year': 1983, 'works_count': 12, 'cited_by_count': 5}, {'year': 1982, 'works_count': 10, 'cited_by_count': 63}, {'year': 1981, 'works_count': 10, 'cited_by_count': 14}, {'year': 1980, 'works_count': 3, 'cited_by_count': 8}]",2016-06-24T00:00:00,2025-10-27T03:11:17.418693,Estudios Públicos,,,journal,,[],Estudios Públicos,www.estudiospublicos.cl,2145,75,1.2564102564102564,0.5925407925407925
0718-5758,S206910646,253,635,11,0.2413793103448276,True,Unexpected error: 'str' object has no attribute 'get',True,False,,[],,,[],18,False,[],2016-06-24T00:00:00,2025-10-27T03:11:17.418693,ONOMAZEIN,http://onomazein.letras.uc.cl,,journal,,[],Onomázein,analesliteraturachilena.letras.uc.cl,1081,74,0.5874190564292322,0.23404255319148937
0717-2672,S4387290231,22,2,1,0.09090909090909091,True,Unexpected error: 'NoneType' object is not iterable,True,False,,,,,[],0,False,[],2025-10-10T00:00:00,2025-10-27T03:07:04.448195,CUADERNOS DE ARTE,,,journal,,[],CUADERNOS DE ARTE,cuadernosdearte.uc.cl,74,74,0.02702702702702703,0.2972972972972973
0365-7779;0717-8883,S4210188963,6186,3800,25,0.12222222222222222,True,Unexpected error: 'str' object has no attribute 'get',True,False,,[],,,[],66,False,[],2025-10-10T00:00:00,2025-10-27T03:07:04.448195,Anales de la Universidad de Chile,,,journal,,[],Anales de la Universidad de Chile,anales.uchile.cl,7784,73,0.4881808838643371,0.7947070914696814
0716-1336;2735-7759,S4387281967,350,81,3,0.178743961352657,True,Unexpected error: 'NoneType' object is not iterable,True,False,,,,,[],1,False,[],2025-10-10T00:00:00,2025-10-27T03:11:17.418693,Cuadernos Médico Sociales,,,journal,,[],Cuadernos Médico Sociales,cuadernosms.cl,2039,72,0.039725355566454144,0.17165277096615988
0718-378X,S4210190119,441,385,5,0.6031746031746031,True,,True,False,,[],,,[],4,False,"[{'year': 2025, 'works_count': 18, 'cited_by_count': 1}, {'year': 2024, 'works_count': 48, 'cited_by_count': 6}, {'year': 2023, 'works_count': 60, 'cited_by_count': 69}, {'year': 2022, 'works_count': 94, 'cited_by_count': 109}, {'year': 2021, 'works_count': 93, 'cited_by_count': 58}, {'year': 2020, 'works_count': 74, 'cited_by_count': 88}, {'year': 2019, 'works_count': 43, 'cited_by_count': 41}, {'year': 2018, 'works_count': 11, 'cited_by_count': 13}]",2025-10-10T00:00:00,2025-10-27T03:11:17.418693,Revista AIDIS de Ingeniería y Ciencias Ambientales Investigación desarrollo y práctica,http://www.metrik.cl/aidis/,,journal,,"['Investigación, desarrollo y práctica']","Revista AIDIS de ingeniería y ciencias ambientales: Investigación, desarrollo y práctica",www.revistas.unam.mx,897,69,0.42920847268673357,0.4916387959866221
0035-0370;2663-0222,S4210198681,612,182,4,0.5877192982456141,True,,True,True,,[],,,[],1,False,"[{'year': 2021, 'works_count': 57, 'cited_by_count': 12}, {'year': 2020, 'works_count': 63, 'cited_by_count': 18}, {'year': 2019, 'works_count': 58, 'cited_by_count': 0}, {'year': 2018, 'works_count': 56, 'cited_by_count': 0}, {'year': 2017, 'works_count': 26, 'cited_by_count': 1}, {'year': 2016, 'works_count': 20, 'cited_by_count': 0}, {'year': 2015, 'works_count': 24, 'cited_by_count': 0}, {'year': 2014, 'works_count': 28, 'cited_by_count': 0}, {'year': 2007, 'works_count': 1, 'cited_by_count': 0}, {'year': 2005, 'works_count': 1, 'cited_by_count': 0}]",2025-10-10T00:00:00,2025-10-27T03:11:17.418693,Revista Peruana de Derecho Internacional,http://spdiojs.org/ojs/index.php/rpdi,,journal,,['Órgano de difusión de la Sociedad Peruana de Derecho Internacional'],Revista Peruana de Derecho Internacional,spdiojs.org,369,69,0.4932249322493225,1.6585365853658536
0304-8799;0717-9200,S158389302,1370,8954,31,0.7614678899082569,True,Unexpected error: 'str' object has no attribute 'get',True,False,,[],,,[],308,False,[],2025-10-10T00:00:00,2025-10-27T03:11:17.418693,Bosque (Valdivia),http://www.scielo.cl/revistas/bosque/eaboutj.htm,,journal,,[],BOSQUE,revistas.uach.cl,1259,68,7.111993645750596,1.0881652104845114
0717-9618;2810-6040,,0,0,0,0.0,False,,False,False,,[],,,[],0,False,[],,,,,,,,[],Revista Chilena de Educación Científica,revistas.umce.cl,115,68,0.0,0.0
0048-7651;0718-2295,S32973941,1410,1719,19,0.18072289156626506,True,Unexpected error: 'str' object has no attribute 'get',True,True,,[],,,[],34,False,[],2016-06-24T00:00:00,2025-10-27T03:11:17.418693,Revista chilena de literatura,http://www.revistaliteratura.uchile.cl/,,journal,,[],Revista Chilena de Literatura,revistaliteratura.uchile.cl,1871,67,0.9187600213789417,0.7536076964190273
