"context_name","dominio","issn","record_count_2023","record_count_2022","record_count_2021","record_count_2020","total_historico"
"Contexto","www.revistacontextoucen.cl","0719-1707;2810-6660",7,11,8,7,53
"REVISTA DE HUMANIDADES Y CIENCIAS SOCIALES Y MULTIDISCIPLINARIA","100cs.cl","0719-5737",7,6,29,0,157
"Revista Observatorio del Deporte","revistaobservatoriodeldeporte.cl","0719-5729",7,20,11,26,254
"Estudios de Administración","estudiosdeadministracion.uchile.cl","0717-0653;0719-0816",7,15,15,12,205
"Journal of Management & Business Studies","revistas.uautonoma.cl","2452-5340",7,12,19,4,66
"Revista de Estudiantes de Medicina del Sur","rems.ufro.cl","0718-1906;0718-9958",7,9,11,6,121
"Cuadernos de Enfermería","revistaucmaule.ucm.cl","2735-7325",7,0,8,0,21
"Panambí. Revista de Investigaciones Artísticas","revistas.uv.cl","0719-630X",7,14,29,8,165
"Revista Odontológica Científica Chilena","rocc.uchile.cl","2735-7600",7,15,0,0,29
"Pragmatika review","pragmatikasolutions.com","2452-5006",7,32,28,24,134
"Revista Latinoamericana de Educación Inclusiva","revistainclusiva.ucentral.cl","0718-5480;0718-7378",7,18,26,13,181
"Remetallica","www.revistas.usach.cl","0716-291X",7,7,8,0,234
"Pro Jure Revista de Derecho - Pontificia Universidad Católica de Valparaíso","www.projurepucv.cl","2810-7659",7,10,22,16,1043
"Boletín de Anestesia","boletinanestesia.uchile.cl","2735-6310",6,5,5,4,20
"Revista Geográfica del Sur","revistas.udec.cl","0718-7653;0718-9249",6,0,12,6,24
"Pensamiento y Acción Interdisciplinaria","revistapai.ucm.cl","0719-8078",6,30,19,8,133
"Revista Infancia, Educación y Aprendizaje","revistas.uv.cl","0719-6202",6,15,6,27,381
"Cuaderno de trabajo","www.politicayestrategia.cl","0719-4110",6,6,59,0,75
"Revista Nodos","revistas.ugm.cl","2810-6008",6,0,0,0,6
"nuestrAmérica preprints","nuestramerica.cl","Sin ISSN",6,0,0,0,6
"Mirada Hemisférica","ojs.uc.cl","Sin ISSN",6,0,0,0,6
"AISTHESIS: Revista Chilena de Investigaciones Estéticas","revistaaisthesis.uc.cl","0568-3939;0718-7181",6,47,53,35,1191
"Publicitas","www.revistas.usach.cl","0719-4005",6,13,13,15,136
