oai_url,application,version,earliest_datestamp,repository_name,set_spec,context_name,stats_id,total_record_count,issn,country_marc,country_issn,country_tld,country_ip,country_consolidated,last_completed_update,first_beacon,last_beacon,last_oai_response,unresponsive_endpoint,unresponsive_context,record_count_2020,record_count_2021,record_count_2022,record_count_2023,issn_buscado,openalex_id,works_count,cited_by_count,h_index,2yr_mean_citedness,is_in_openalex,error,indice_visibilidad,indice_visibilidad_ajustado,tasa_indexacion_openalex,es_chile_activa
https://revistadelaconstruccion.uc.cl/index.php/index/oai,ojs,3.2.1.4,2018-12-11T11:20:45Z,Revistas UC,bjur,Boletín Jurídico del Observatorio de Libertad Religiosa de América Latina y El Caribe,5a281158ae477,4475,2452-5561,cl,CL,CL,,cl,2024-10-12 04:55:42+00:00,2024-05-17 20:05:47+00:00,2024-10-14 20:14:17+00:00,2024-10-12 04:52:39+00:00,0,0,15,0,983,2681,2452-5561,,0,0,0,0.0,False,,0.0,0.0,0.0,True
https://safer.uct.cl/index.php/index/oai,ojs,3.3.0.11,2023-01-25T14:16:02Z,,safer,"Sustainability, Agri, Food and Environmental Research-DESCONTINUADA",5465178f43fb2,719,0719-3726,Chile,CL,CL,,cl,2024-10-10 04:34:47+00:00,2020-05-05 22:05:13+00:00,2024-09-13 12:41:13+00:00,2024-10-10 04:34:42+00:00,0,0,0,0,0,702,0719-3726,S2736865885,324,461,9,0.2622950819672131,True,,0.6411682892906815,1.4228395061728396,0.4506258692628651,True
https://academiaone.org/index.php/index/oai,ojs,3.3.0.14,2023-04-24T17:51:47Z,Academia One,2,Diversity Research: Journal of Analysis and Trends,642e721191c1f,240,2810-6393,cl,CL,,,cl,2024-10-20 08:18:23+00:00,2023-04-28 09:06:58+00:00,2024-04-12 07:20:29+00:00,2024-10-20 08:17:35+00:00,0,0,0,0,0,153,2810-6393,,0,0,0,0.0,False,,0.0,0.0,0.0,True
https://esla.letras.uc.cl/index.php/index/oai,ojs,3.2.1.4,2018-12-11T11:20:45Z,Revistas UC,esla,English Studies in Latin America: A Journal of Cultural and Literary Criticism,5a281158ae477,231,0719-9139,cl,CL,CL,,cl,2024-10-11 07:43:47+00:00,2024-01-29 14:26:29+00:00,2024-10-15 20:27:08+00:00,2024-10-11 07:40:31+00:00,0,0,15,10,11,119,0719-9139,S4389158279,0,0,1,0.0,True,,0.0,0.0,0.0,True
https://revistas.udec.cl/index.php/index/oai,ojs,3.2.0.3,2017-05-14T04:45:46Z,Revistas Académicas Universidad de Concepción,chjaas,Chilean Journal of Agricultural & Animal Sciences,58e51e0ae72e0,385,0719-3890,cl,CL,CL,CL,cl,2024-10-02 07:40:56+00:00,2020-06-10 13:58:40+00:00,2022-12-26 11:47:32+00:00,2024-10-02 07:38:14+00:00,0,0,32,32,35,105,0719-3890,S4210172773,214,680,10,0.6025641025641025,True,,1.7662337662337662,3.177570093457944,0.5558441558441558,True
https://www.revistaproyecciones.cl/index.php/index/oai,ojs,3.4.0.5,2014-05-31T21:57:20Z,Revistas Científicas de la Universidad Católica del Norte,proyecciones,Proyecciones. Revista de Matemática,53879a384bfcd,1251,0717-6279,Chile,CL,CL,CL,cl,2024-10-01 04:44:03+00:00,2020-05-06 11:36:25+00:00,2024-10-07 20:48:31+00:00,2024-10-01 04:43:27+00:00,0,0,100,83,85,91,0717-6279,S4210193274,1159,3222,21,0.3121693121693121,True,,2.575539568345324,2.779982743744608,0.926458832933653,True
https://academiaone.org/index.php/index/oai,ojs,3.3.0.14,2023-04-24T17:51:47Z,Academia One,4,Open Academia: Journal of Scholarly Research,642e721191c1f,163,2810-6377,cl,CL,,,cl,2024-10-20 08:18:23+00:00,2023-04-28 09:06:58+00:00,2024-04-12 07:20:29+00:00,2024-10-20 08:17:35+00:00,0,0,0,0,0,88,2810-6377,,0,0,0,0.0,False,,0.0,0.0,0.0,True
https://horizonteenfermeria.uc.cl/index.php/index/oai,ojs,3.2.1.4,2018-12-11T11:20:45Z,Revistas UC,RHE,Horizonte de Enfermería,5a281158ae477,603,0719-6946,cl,CL,CL,,cl,2024-09-28 07:06:13+00:00,2024-01-11 20:01:06+00:00,2024-09-06 13:27:41+00:00,2024-09-28 07:02:42+00:00,0,0,73,28,9,83,0719-6946,S4210167916,207,142,6,0.3495145631067961,True,,0.2354892205638474,0.6859903381642513,0.3432835820895522,True
https://analesliteraturachilena.letras.uc.cl/index.php/index/oai,ojs,3.2.1.4,2018-12-11T11:20:45Z,Revistas UC,alch,Anales de Literatura Chilena,5a281158ae477,956,0717-6058,cl,CL,CL,,cl,2024-09-30 08:19:36+00:00,2024-01-12 15:42:41+00:00,2024-09-24 21:51:15+00:00,2024-09-30 08:15:59+00:00,0,0,20,79,259,82,0717-6058,S71612694,432,194,5,0.0384615384615384,True,,0.202928870292887,0.449074074074074,0.4518828451882845,True
https://analesliteraturachilena.letras.uc.cl/index.php/index/oai,ojs,3.2.1.4,2018-12-11T11:20:45Z,Revistas UC,onom,Onomázein,5a281158ae477,1081,0718-5758,cl,CL,CL,,cl,2024-09-30 08:19:36+00:00,2024-01-12 15:42:41+00:00,2024-09-24 21:51:15+00:00,2024-09-30 08:15:59+00:00,0,0,78,54,81,74,0718-5758,S206910646,325,845,13,0.0,True,,0.7816836262719704,2.6,0.3006475485661424,True
